18992420,10/10/11
18992479,10/10/11
18992958,10/5/11
18993030,9/28/11
18993477,10/5/11
18993907,9/26/11
18994459,10/10/11
18995365,10/5/11
18995365,10/10/11
18995480,9/21/11
18996215,9/21/11
18997296,9/21/11
18997874,9/27/11
18998161,10/5/11
18998849,10/10/11
18998856,10/5/11
18999045,10/5/11
18999268,10/4/11
18999821,9/21/11
19000140,10/4/11
19001700,10/5/11
19004183,10/5/11
19004316,9/29/11
19872423,10/5/11
19879865,9/30/11
19880574,9/27/11
19880772,9/27/11
19881986,9/21/11
19886100,9/26/11
19887447,9/26/11
19889351,10/4/11
22219307,10/10/11
22222335,10/4/11
22225817,10/5/11
22225999,10/5/11
22227318,10/5/11
22227664,10/5/11
22227847,10/10/11
22230247,10/4/11
22231427,9/30/11
22232318,10/5/11
30000012,10/5/11
30000848,9/29/11
30002158,10/5/11
30004139,10/5/11
30009518,9/30/11
30011639,10/5/11
30012413,10/5/11
30013700,10/5/11
30014682,9/21/11
30015838,10/5/11
30017289,10/5/11
30017420,10/5/11
30017982,10/5/11
30018030,10/5/11
30018212,9/21/11
30018352,9/30/11
30019061,10/5/11
30019400,10/5/11
30020622,10/5/11
30020705,10/5/11
30021794,10/4/11
30021836,10/5/11
30023022,9/21/11
30024293,10/5/11
30024566,10/5/11
30025365,9/29/11
30028336,9/29/11
30028484,10/4/11
30028625,10/5/11
30030571,10/4/11
30030654,9/21/11
30031785,9/21/11
30033930,9/21/11
30033997,9/21/11
30033997,9/28/11
30034698,10/5/11
30035398,10/5/11
30036941,9/22/11
30037444,10/4/11
30037519,10/4/11
30037899,10/4/11
30038053,9/29/11
30038103,9/26/11
30038103,9/26/11
30039358,10/5/11
30040380,10/4/11
30041784,10/10/11
30045603,10/5/11
30045918,9/29/11
30046742,9/29/11
30046833,9/21/11
30047369,9/21/11
30048839,10/5/11
30049241,9/21/11
30049316,10/5/11
30049340,10/5/11
30050496,10/5/11
30050652,10/10/11
30051882,9/28/11
30052526,9/28/11
30052658,10/5/11
30053581,10/4/11
30053581,10/5/11
30053797,9/21/11
30055552,9/21/11
30058903,9/29/11
30059521,9/29/11
30059653,9/21/11
30061063,10/5/11
30061097,10/4/11
30061261,10/10/11
30061691,10/4/11
30062152,10/5/11
30062236,9/21/11
30062632,9/26/11
30062665,10/4/11
30063333,10/5/11
30064372,10/5/11
30067706,10/5/11
30067888,9/21/11
30068647,10/5/11
30069900,10/5/11
30070155,10/5/11
30070734,10/5/11
30071807,10/5/11
30072243,10/5/11
30073076,9/26/11
30073639,10/10/11
30073753,10/5/11
30075352,10/5/11
30076376,10/5/11
30076657,9/21/11
30076822,9/21/11
30077614,10/4/11
30077689,9/29/11
30077747,9/21/11
30077846,10/10/11
30078026,10/5/11
30078216,9/26/11
30078216,10/4/11
30078240,9/26/11
30078463,10/4/11
30078471,9/27/11
30078539,9/21/11
30079636,9/21/11
30080576,10/5/11
30081210,9/21/11
30081707,9/26/11
30081715,9/21/11
30082085,10/10/11
30082143,9/21/11
30082226,9/21/11
30082242,9/28/11
30082325,10/10/11
30082903,9/21/11
30083216,10/10/11
30083497,10/4/11
30083596,10/5/11
30083810,9/21/11
30084446,10/4/11
30090336,10/10/11
30091409,10/10/11
30091441,10/5/11
30091466,10/4/11
30091615,10/5/11
30092233,10/5/11
30093249,10/4/11
30093421,10/5/11
30093546,9/29/11
30093652,10/5/11
30093686,10/5/11
30094049,9/23/11
30094171,9/21/11
30094809,10/5/11
30095285,10/5/11
30095368,9/29/11
30095608,10/4/11
30095608,10/10/11
30096465,9/29/11
30096705,10/10/11
30097448,9/26/11
30097455,9/29/11
30097471,10/4/11
30097745,9/21/11
30098610,9/26/11
30098875,10/10/11
30098925,9/26/11
30099121,10/4/11
30100408,9/29/11
30100523,10/4/11
30101778,9/27/11
30101844,9/21/11
30102693,10/4/11
30102891,9/29/11
30102891,10/4/11
30103378,10/4/11
30103485,9/21/11
30103634,10/10/11
30103758,10/10/11
30103790,10/5/11
30105134,9/26/11
30105555,10/4/11
30105878,10/5/11
30106132,9/21/11
30106231,10/5/11
30106256,10/5/11
30106488,10/5/11
30106504,9/21/11
30108534,9/21/11
30108864,10/5/11
30109110,9/21/11
30109284,10/10/11
30109334,10/5/11
30109565,10/4/11
30109615,9/21/11
30109615,9/29/11
30109987,10/5/11
30110092,9/26/11
30110688,10/10/11
30110928,10/5/11
30111215,10/5/11
30111223,10/4/11
30111330,10/10/11
30111330,10/10/11
30111884,9/28/11
30112015,9/27/11
30112122,9/29/11
30112361,10/10/11
30112668,10/5/11
30112916,10/5/11
30113146,10/5/11
30113377,9/26/11
30113419,9/21/11
30113872,9/21/11
30114466,9/21/11
30115422,9/21/11
30115471,10/5/11
30115778,9/28/11
30115844,9/29/11
30115844,9/29/11
30115844,10/5/11
30116032,9/30/11
30116388,9/26/11
30116610,10/4/11
30116743,10/4/11
30116891,9/22/11
30117451,9/27/11
30117790,10/5/11
30117881,10/5/11
30117931,9/28/11
30118251,9/21/11
30118251,10/5/11
30118343,10/4/11
30118723,9/21/11
30118939,9/21/11
30118988,10/5/11
30119010,9/28/11
30119135,9/21/11
30119291,9/21/11
30119457,9/29/11
30119515,9/21/11
30119630,9/26/11
30120117,10/5/11
30120182,10/5/11
30120240,9/26/11
30120398,10/5/11
30120638,9/27/11
30120893,9/21/11
30120893,10/5/11
30121040,9/22/11
30121305,9/28/11
30121560,9/21/11
30121610,10/5/11
30121776,9/27/11
30122428,9/29/11
30122436,10/10/11
30122485,9/26/11
30123053,10/5/11
30123103,10/5/11
30123236,10/5/11
30123327,9/30/11
30123384,10/5/11
30123525,9/21/11
30123533,9/26/11
30123533,10/10/11
30123715,9/21/11
30124051,9/30/11
30124168,10/10/11
30124234,10/5/11
30124317,10/4/11
30124390,10/5/11
30124804,10/5/11
30125306,10/5/11
30125603,9/21/11
30125819,10/5/11
30125934,9/21/11
30125934,9/26/11
30125983,9/26/11
30126015,9/21/11
30126148,10/4/11
30126387,9/27/11
30126445,10/5/11
30126452,9/22/11
30126627,10/5/11
30126635,9/21/11
30126635,9/27/11
30126825,10/5/11
30126866,9/28/11
30127393,10/5/11
30127740,9/27/11
30128235,9/26/11
30128532,9/30/11
30128698,10/5/11
30128854,10/5/11
30128870,10/4/11
30129183,9/26/11
30129738,10/5/11
30129878,10/5/11
30129902,10/5/11
30129928,9/28/11
30129928,10/5/11
30130744,9/21/11
30130744,10/10/11
30131106,10/5/11
30131338,10/4/11
30131544,9/21/11
30131627,10/5/11
30131692,9/27/11
30131718,10/4/11
30132120,10/4/11
30132385,9/26/11
30132542,9/28/11
30132716,9/21/11
30132757,10/10/11
30132765,9/28/11
30132773,9/26/11
30132849,9/29/11
30132849,10/10/11
30133003,9/30/11
30133144,9/26/11
30133169,9/29/11
30133433,9/29/11
30133490,9/21/11
30133532,10/4/11
30133599,9/21/11
30133623,10/10/11
30133706,9/21/11
30133748,10/4/11
30133946,9/27/11
30134001,10/5/11
30134019,10/5/11
30134472,10/10/11
30134670,9/27/11
30134704,9/21/11
30135297,9/30/11
30135297,10/10/11
30135487,10/10/11
30135750,10/4/11
30135750,10/4/11
30135768,9/21/11
30135883,10/4/11
